City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nova Friburgo,BR,74.19,scattered clouds,-22.2819,-42.5311,Hotel Fabris
1,Saint George,US,59.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
3,Castro,BR,75.45,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
7,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
8,Busselton,AU,63.82,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Roseto Degli Abruzzi,IT,71.67,scattered clouds,42.6664,14.0227,Villa Rosella Resort
11,Mar Del Plata,AR,67.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Rikitea,PF,74.25,moderate rain,-23.1203,-134.9692,People ThankYou
13,Bredasdorp,ZA,58.96,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
14,Hermanus,ZA,60.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
22,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
23,Bluff,NZ,52.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
25,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
26,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Marsh Harbour,BS,75.88,clear sky,26.5412,-77.0636,Abaco Beach Resort
29,Singaparna,ID,73.22,light rain,-7.3515,108.111,Wisma Dewi Hotel
30,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Adolfo Lopez Mateos,MX,64.92,clear sky,28.4667,-107.3,Hotel Victor Inn
33,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Asbury Park,US,60.1,overcast clouds,40.2204,-74.0121,Berkeley Oceanfront Hotel
37,Vila Franca Do Campo,PT,61.21,light rain,37.7167,-25.4333,Pestana Bahia Praia
38,Kiunga,PG,74.46,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
40,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
41,Cognac,FR,58.03,broken clouds,45.5,-0.25,Domaine de Pladuc
42,Atuona,PF,78.78,scattered clouds,-9.8,-139.0333,Villa Enata
44,Ystad,SE,54.34,few clouds,55.4297,13.8204,Continental du Sud
45,Kununurra,AU,71.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
46,Butaritari,KI,79.34,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
51,Pisco,PE,62.65,fog,-13.7,-76.2167,Hotel San Isidro Oficial
52,Guerrero Negro,MX,65.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
53,New Norfolk,AU,55.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Namibe,AO,75.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
56,Lebu,CL,57.16,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
57,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
58,Necochea,AR,72.16,few clouds,-38.5473,-58.7368,dyd -mar Hotel
60,Tarime,TZ,64.71,overcast clouds,-1.35,34.3667,Kifa Best Point Hotel
63,Temiscaming,CA,53.15,overcast clouds,46.7212,-79.0971,Auberge Canadienne
66,Palmer,US,56.07,overcast clouds,42.1584,-72.3287,Wedgewood Motel
70,Laiyang,CN,59.32,overcast clouds,36.9758,120.7136,莱阳恒银宾馆
72,Nchelenge,ZM,71.1,moderate rain,-9.3451,28.734,KD Travellers Home
74,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Daru,PG,78.94,overcast clouds,-9.0763,143.2092,Daru Lodge
