City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nova Friburgo,BR,-22.2819,-42.5311,74.19,69,30,0.94,scattered clouds
1,Saint George,US,37.1041,-113.5841,59.79,30,0,3.44,clear sky
2,Yellowknife,CA,62.456,-114.3525,19.92,68,0,12.66,clear sky
3,Castro,BR,-24.7911,-50.0119,75.45,61,39,2.26,scattered clouds
4,Kapaa,US,22.0752,-159.319,75.18,83,88,5.99,overcast clouds
5,Codrington,AU,-38.2667,141.9667,48.58,93,1,7.52,clear sky
6,Port Alfred,ZA,-33.5906,26.891,61.18,83,98,5.01,overcast clouds
7,Ribeira Grande,PT,38.5167,-28.7,63.0,59,40,18.41,scattered clouds
8,Busselton,AU,-33.65,115.3333,63.82,51,100,9.84,overcast clouds
9,Ornskoldsvik,SE,63.2909,18.7153,47.35,49,16,8.05,few clouds
10,Roseto Degli Abruzzi,IT,42.6664,14.0227,71.67,69,43,4.72,scattered clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,67.87,72,0,16.11,clear sky
12,Rikitea,PF,-23.1203,-134.9692,74.25,79,100,8.72,moderate rain
13,Bredasdorp,ZA,-34.5322,20.0403,58.96,72,30,10.0,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,60.8,80,13,8.19,light rain
15,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,2.3,broken clouds
16,Taoudenni,ML,22.6783,-3.9836,93.49,14,0,16.24,clear sky
17,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,20,9.22,few clouds
18,Hithadhoo,MV,-0.6,73.0833,84.67,72,93,9.71,overcast clouds
19,Teya,RU,60.3778,92.6267,25.05,97,99,4.27,overcast clouds
20,Kodiak,US,57.79,-152.4072,40.51,87,100,13.8,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,6.13,71,20,7.56,few clouds
22,Geraldton,AU,-28.7667,114.6,61.21,72,97,0.0,overcast clouds
23,Bluff,NZ,-46.6,168.3333,52.81,82,84,18.48,broken clouds
